[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-11-06 23:45:11,589: Logging to: logs/2018_Nov_06/BrakeControllerBridge/23_45_11.log
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:19,371: packet: 'Packet(global_sequence_num=21, data=[0.36, 12.03, 3.32, 39.2, 12.02, 0, 0.0], name=brake, receive_time=1541565919.3707585, timestamp=7.180388, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:19,618: packet: 'Packet(global_sequence_num=22, data=[0.35, 12.03, 3.32, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565919.4725797, timestamp=7.281756, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:19,618: packet: 'Packet(global_sequence_num=23, data=[0.33, 12.03, 3.4, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565919.5737476, timestamp=7.38314, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:19,674: packet: 'Packet(global_sequence_num=24, data=[0.33, 12.03, 3.52, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565919.6737719, timestamp=7.483492, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:19,775: packet: 'Packet(global_sequence_num=25, data=[0.36, 12.03, 3.52, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565919.7746832, timestamp=7.58486, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,012: packet: 'Packet(global_sequence_num=26, data=[0.33, 12.02, 3.4, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565919.8764794, timestamp=7.686244, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,013: packet: 'Packet(global_sequence_num=27, data=[0.32, 12.02, 3.32, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565919.9772296, timestamp=7.786596, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,078: packet: 'Packet(global_sequence_num=28, data=[0.33, 12.02, 3.12, 39.2, 12.02, 0, 0.0], name=brake, receive_time=1541565920.0775306, timestamp=7.887964, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,179: packet: 'Packet(global_sequence_num=29, data=[0.34, 12.02, 3.32, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565920.1786969, timestamp=7.988324, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,417: packet: 'Packet(global_sequence_num=30, data=[0.33, 12.03, 3.12, 39.2, 12.02, 0, 0.0], name=brake, receive_time=1541565920.2796779, timestamp=8.089692, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,418: packet: 'Packet(global_sequence_num=31, data=[0.33, 12.03, 3.32, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565920.3811326, timestamp=8.191076, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,481: packet: 'Packet(global_sequence_num=32, data=[0.33, 12.03, 3.32, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565920.4813082, timestamp=8.291428, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,583: packet: 'Packet(global_sequence_num=33, data=[0.31, 12.03, 3.2, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565920.5827088, timestamp=8.392796, sequence_num=0)'
